tick buy_price sell_price demand
6 17.0 35.0 0.5253679273040601
34 15.0 31.0 2.623062681465921
46 32.0 65.0 0.0
49 66.0 132.0 3.1421002967938376
1 21.0 43.0 0.9200006765649047
13 34.0 68.0 1.4996860646142065
39 35.0 71.0 2.98496259290658
51 51.0 102.0 1.8594139867691428
3 20.0 41.0 0.8322990224484644
15 45.0 90.0 3.20981201225175
28 17.0 34.0 3.0760282732526805
46 52.0 105.0 1.785196611897275
58 31.0 63.0 1.468852137104413
10 8.0 16.0 0.0
22 41.0 83.0 3.9687479378600745
34 22.0 45.0 3.347858663636364
46 57.0 115.0 2.2927978153553745
58 33.0 67.0 1.6512414197170386
10 27.0 54.0 1.4547485100727071
15 21.0 43.0 0.0
27 5.0 10.0 0.6025828596950873
39 33.0 67.0 2.7804196048560335
51 52.0 104.0 1.960335005989969
3 14.0 29.0 0.23125875758302689
15 28.0 57.0 0.5258179106306716
27 5.0 10.0 0.7843590736847026
40 24.0 49.0 1.402351890235652
52 60.0 121.0 3.04565196633522
4 23.0 47.0 1.1431392757939465
16 43.0 86.0 2.2229364318888716
28 9.0 19.0 2.317453010893124
40 23.0 47.0 1.3363992553276722
42 37.0 74.0 1.7032188160057573
43 57.0 115.0 3.2727660885405094
44 55.0 110.0 2.548843942859394
45 56.0 113.0 2.158504767908779
46 64.0 129.0 2.9658653819399876
47 42.0 85.0 0.7739984096487573
48 51.0 103.0 1.6951390228638674
49 55.0 111.0 2.079601860824714
50 64.0 129.0 2.9550717144479517
51 66.0 132.0 3.3501657173293493
52 29.0 58.0 0.0
53 44.0 89.0 1.6721078208218518
54 40.0 81.0 1.4731309465047906
55 62.0 124.0 3.884662980130696
56 50.0 101.0 2.9024122579599823
57 28.0 57.0 0.9660772309647805
58 41.0 82.0 2.4235816956356913
59 20.0 40.0 0.9009419748430685
1 5.0 10.0 0.0
2 13.0 26.0 0.09687842199068486
3 5.0 10.0 0.0
4 16.0 32.0 0.39530835692035604
5 12.0 25.0 0.006540472888987348
6 19.0 38.0 0.6638179993861011
7 13.0 26.0 0.0816536767475638
8 43.0 87.0 3.122391752474425
9 12.0 24.0 0.0
10 24.0 49.0 1.2321970878792818
11 33.0 66.0 1.8667375863084672
12 40.0 80.0 2.3087626620702606
13 49.0 99.0 3.0878326195246886
14 37.0 74.0 1.5765828168322655
15 29.0 58.0 0.5683941213955798
16 38.0 77.0 1.755211031896312
