tick buy_price sell_price demand
0 15 31 0.3392212370597878
1 22 45 1.034745330546217
2 22 44 0.977137417823895
3 34 68 2.1885913800189485
4 34 68 2.1872299493422442
5 9 19 0.0
6 20 41 0.8396368034295534
7 28 57 1.6088783186317903
8 23 46 1.07330694196909
9 27 54 1.4878918991927814
10 12 24 0.0
11 18 36 0.35268889159722516
12 19 39 0.2538030974518437
13 27 55 0.8610602017938541
14 24 49 0.3247654945500388
15 45 90 2.1527763269481897
16 16 33 0.0
17 28 57 1.0589036896426367
18 35 71 2.02389917461076
19 38 76 2.5577630389240005
20 16 33 0.6166617494178295
21 40 81 3.4926075103771734
22 27 55 2.5949330169104683
23 18 36 2.0137698043485712
24 5 10 0.08793850190497166
25 20 40 2.8276326155613836
26 10 21 2.1160335269126604
27 27 55 4.0
28 9 19 2.31917477679841
29 5 10 1.8260483829031544
30 5 10 1.3427554335358205
31 5 10 0.0
32 20 41 3.4415966685175188
33 8 16 2.081485605824915
34 7 15 1.822672129385783
35 14 29 2.2626742140495684
36 16 33 2.1841977326818163
37 12 25 1.4721171211468287
38 14 29 1.2996800954283227
39 24 49 1.898252448229424
40 29 59 1.9021398547236288
41 55 110 4.0
42 37 74 1.7491400576218736
43 39 79 1.4863899591917153
44 66 133 3.685614870354274
45 50 101 1.5977198739683551
46 43 87 0.8760292429292138
47 49 98 1.4043043400601682
48 64 128 2.9330923228424197
49 58 117 2.396866952551309
50 50 100 1.5469583368329753
51 43 87 1.123337653323045
52 48 96 1.797448388010047
53 48 96 2.035049823594619
54 48 96 2.2065286649406834
55 34 68 1.0716910175168917
56 29 58 0.7671475232463247
57 22 45 0.3621278721643565
58 31 63 1.4961292033423232
59 29 58 1.4405030227515883
